;codigo_VU;raz_social;nombre;rubro;ciiu6;ciiu4;region;provincia;comuna;coord_este;coord_norte;huso;COD_FUENTE;fuente_emision;COMBUSTIBLE PRIMARIO;EMISION PRIMARIO;COMBUSTIBLE SECUNDARIO;EMISION SECUNDARIO;EMISION MATERIA PRIMA;tipo_contaminante;ton_emision;ORIGEN;Longitud;Latitud
14;322488;CMPC PULP SPA;CMPC PULP SA PLANTA PACIFICO;Industria del papel y celulosa;Fabricación de celulosa y otras pastas de madera;Fabricación de pasta de madera, papel y cartón;La La Araucanía;Malleco;Collipulli;721997,0;5814341,0;18,0;IN-GEV-15516;Caldera Industrial (Generadora de Vapor o Agua Caliente);Licor Negro;1590033,872448;Petróleo N 6;4618,1894377123;0,0;Carbon dioxide;1074392,75843;Impuesto Verde;-72,47881512981417;-37,79134645755639
15;6638;GUACOLDA ENERGIA S.A;GUACOLDA;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Atacama;Huasco;Huasco;279279,0;6848815,0;19,0;CG-GEV-10668;Caldera de Generación Eléctrica;Carbón Bituminoso Pulverizado;1283736,7175818;Petróleo N 2 (Diesel);0,58780493801406;0,0;Carbon dioxide;996827,453125;Impuesto Verde;-71,25437652646816;-28,46860973575537
16;6638;GUACOLDA ENERGIA S.A;GUACOLDA;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Atacama;Huasco;Huasco;279279,0;6848815,0;19,0;CG-GEV-10644;Caldera de Generación Eléctrica;Carbón Bituminoso Pulverizado;1125013,451644;Petróleo N 2 (Diesel);0,62790252552612;0,0;Carbon dioxide;981508,703125;Impuesto Verde;-71,25437652646816;-28,46860973575537
17;3582;CORP NACIONAL DEL COBRE DE CHILE;DIVISION SALVADOR  POTRERILLOS;Fundiciones de cobre;Extracción y procesamiento de cobre;Extracción y procesamiento de cobre;Atacama;Chañaral;Diego de Almagro;451818,0;7075984,0;19,0;CV-PPM-22955;Convertidor Pierce Smith (CPS);Petróleo N 6;935500,24634537;Petróleo N 2 (Diesel);0,0;0,0;Carbon dioxide;935500,24634537;RUEA;-69,48323871712427;-26,435602695647805
18;436492;CENTRAL TERMOELECTRICA ANDINA S A;CENTRAL TERMICA ANDINA;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Antofagasta;Antofagasta;Mejillones;355799,0;7446299,0;19,0;CG-GEV-22225;Caldera de Generación Eléctrica;Carbón Sub Bituminoso;898408,37090874;Petróleo N 2 (Diesel);5132,5926288308;0,0;Carbon dioxide;903540,9635375708;RUEA;-70,40788419729702;-23,08569494004857
19;6638;GUACOLDA ENERGIA S.A;GUACOLDA;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Atacama;Huasco;Huasco;279279,0;6848815,0;19,0;CG-GEV-10623;Caldera de Generación Eléctrica;Carbón Bituminoso Pulverizado;1177087,4792427;Petróleo N 2 (Diesel);0,77970536526402;0,0;Carbon dioxide;894336,9375;Impuesto Verde;-71,25437652646816;-28,46860973575537
20;1211027;ENEL GENERACION CHILE S.A.;SAN ISIDRO 2;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Valparaíso;Quillota;Quillota;283436,0;6353313,0;19,0;TG-GEV-8764;Turbina de Gas;Gas Natural;736840,18591977;Petróleo N 2 (Diesel);88,803120095986;0,0;Carbon dioxide;893956,703125;Impuesto Verde;-71,31637515256736;-32,93702893020306
21;5441369;AES GENER S A;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Antofagasta;Tocopilla;Tocopilla;375154,0;7556098,0;19,0;CG-GEV-19959;Caldera de Generación Eléctrica;Carbón Bituminoso Pulverizado;1434814,3742136;Petróleo N 2 (Diesel);869,73898713975;0,0;Carbon dioxide;827674,5;Impuesto Verde;-70,21025147438527;-22,095576264881107
22;5441369;AES GENER S A;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Antofagasta;Tocopilla;Tocopilla;375154,0;7556098,0;19,0;CG-GEV-19950;Caldera de Generación Eléctrica;Carbón Bituminoso Pulverizado;1264328,3248425;Petróleo N 2 (Diesel);1228,8592017714;0,0;Carbon dioxide;809325,25;Impuesto Verde;-70,21025147438527;-22,095576264881107
23;85823;AES GENER S A;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Valparaíso;Valparaíso;Puchuncaví;267718,0;6373424,0;19,0;CG-GEV-9441;Caldera de Generación Eléctrica;Carbón Bituminoso Pulverizado;999938,24419229;Petróleo N 2 (Diesel);2275,2173106093;0,0;Carbon dioxide;800992,171875;Impuesto Verde;-71,47931608290604;-32,75255770981258
24;3216;CMPC PULP SPA;CMPC CELULOSA PLANTA LAJA;Industria del papel y celulosa;Fabricación de celulosa y otras pastas de madera;Fabricación de pasta de madera, papel y cartón;Biobío;Biobío;Laja;702788,0;5870977,0;18,0;IN-GEV-9434;Caldera Industrial (Generadora de Vapor o Agua Caliente);Licor Negro;1250606,1130214;Petróleo N 6;21874,0943799;0,0;Carbon dioxide;783088,03304;Impuesto Verde;-72,71244477587406;-37,28572824927511
25;9778;SOCIEDAD ELECTRICA SANTIAGO SPA;RENCA NUEVA RENCA;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Metropolitana de Santiago;Santiago;Renca;343113,0;6301246,0;19,0;CG-GEV-3381;Caldera de Generación Eléctrica;Gas Natural;575084,3652548;Petróleo N 2 (Diesel);0,0;0,0;Carbon dioxide;767559,546875;Impuesto Verde;-70,68732720849435;-33,41667879801242
26;436492;CENTRAL TERMOELECTRICA ANDINA S A;CENTRAL TERMICA ANDINA;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Antofagasta;Antofagasta;Mejillones;355799,0;7446299,0;19,0;CG-GEV-21989;Caldera de Generación Eléctrica;Carbón Sub Bituminoso;722090,01017249;Petróleo N 2 (Diesel);6169,585212448;0,0;Carbon dioxide;712590,140625;Impuesto Verde;-70,40788419729702;-23,08569494004857
27;85017;CELULOSA ARAUCO Y CONSTITUCION S A;NUEVA ALDEA;Industria del papel y celulosa;Fabricación de celulosa y otras pastas de madera;Fabricación de pasta de madera, papel y cartón;Ñuble;Itata;Ránquil;725958,0;5939876,0;18,0;CG-GEV-678;Caldera de Generación Eléctrica;Biomasa Combustible;458691,2233848;Petróleo N 2 (Diesel);4,4065761075543;0,0;Carbon dioxide;711743,45;Impuesto Verde;-72,47191633949026;-36,659913144928595
28;2397;CELULOSA ARAUCO Y CONSTITUCION S A;PLANTA ARAUCO;Industria del papel y celulosa;Fabricación de celulosa y otras pastas de madera;Fabricación de pasta de madera, papel y cartón;Biobío;Arauco;Arauco;657571,0;5880775,0;18,0;CG-GEV-1437;Caldera de Generación Eléctrica;Biomasa Combustible;564056,15037816;Petróleo N 6;1323,3588968175;0,0;Carbon dioxide;674766,633;Impuesto Verde;-73,22433337033301;-37,206209809699054
29;28770;COLBUN S A;COMPLEJO TERMOELÉCTRICO NEHUENCO;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Valparaíso;Quillota;Quillota;282921,0;6353249,0;19,0;TG-GEV-9068;Turbina de Gas;Gas Natural;538062,5072543;Petróleo N 2 (Diesel);0,0;0,0;Carbon dioxide;652645,1484375;Impuesto Verde;-71,3218947769196;-32,937503554701536
30;9778;SOCIEDAD ELECTRICA SANTIAGO SPA;RENCA NUEVA RENCA;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Metropolitana de Santiago;Santiago;Renca;343113,0;6301246,0;19,0;TG-GEV-4932;Turbina de Gas;Gas Natural;536027,40449436;Petróleo N 2 (Diesel);82957,645599822;0,0;Carbon dioxide;618985,050094182;RUEA;-70,68732720849435;-33,41667879801242
34;3208;BIO BIO CEMENTOS S.A.;BÍO BÍO CEMENTOS SA PLANTA TENO;Producción de cemento, cal y yeso;Fabricación de cemento, cal y yeso;Fabricación de cemento, cal y yeso;Maule;Curicó;Teno;304709,0;6139597,0;19,0;HR-PCM-6389;Horno Precalcinador;Coke de Petróleo (Petcoke);106344,19642285;Aceite Usado;0,0;483434,57421127;Carbon dioxide;589778,77063412;RUEA;-71,13651832098581;-34,86724209445435
35;5441768;COMPANIA ELECTRICA TARAPACA S A;CENTRAL TARAPACÁ;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Tarapacá;Iquique;Iquique;375795,0;7698915,0;19,0;CG-GEV-8825;Caldera de Generación Eléctrica;Carbón Bituminoso;683409,73734105;Petróleo N 2 (Diesel);0,0;0,0;Carbon dioxide;568319,359375;Impuesto Verde;-70,19349276940179;-20,805530980809717
37;5441923;ENEL GENERACION CHILE S.A.;CENTRAL TERMOELECTRICA BOCAMINA U1;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Biobío;Concepción;Coronel;663174,0;5901210,0;18,0;CG-GEV-187;Caldera de Generación Eléctrica;Carbón Bituminoso Pulverizado;669720,12069626;Petróleo N 2 (Diesel);1933,6235959574;0,0;Carbon dioxide;500352,8125;Impuesto Verde;-73,16567023374918;-37,021135210116306
38;5462275;COMPANIA ELECTRICA TARAPACA S A;CENTRAL SAN ISIDRO I;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Valparaíso;Quillota;Quillota;283427,0;6353373,0;19,0;TG-GEV-8688;Turbina de Gas;Gas Natural;436038,39214512;Petróleo N 2 (Diesel);240,25966363626;0,0;Carbon dioxide;474358,96679688;Impuesto Verde;-71,31645724358873;-32,93648636165988
39;3522;CMPC PULP SPA;CMPC CELULOSA PLANTA SANTA FE;Industria del papel y celulosa;Fabricación de celulosa y otras pastas de madera;Fabricación de pasta de madera, papel y cartón;Biobío;Biobío;Nacimiento;707640,0;5845494,0;18,0;IN-GEV-20179;Caldera Industrial (Generadora de Vapor o Agua Caliente);Licor Negro;732163,80863376;Petróleo N 6;2325,5061408763;0,0;Carbon dioxide;444715,8764;Impuesto Verde;-72,65059528612598;-37,51416427062651
40;2397;CELULOSA ARAUCO Y CONSTITUCION S A;PLANTA ARAUCO;Industria del papel y celulosa;Fabricación de celulosa y otras pastas de madera;Fabricación de pasta de madera, papel y cartón;Biobío;Arauco;Arauco;657571,0;5880775,0;18,0;CG-GEV-1434;Caldera de Generación Eléctrica;Biomasa Combustible;307760,4795448;Petróleo N 6;4594,7130574143;0,0;Carbon dioxide;390555,462;Impuesto Verde;-73,22433337033301;-37,206209809699054
41;5441787;ENGIE ENERGIA CHILE S.A.;CENTRAL TERMICA TOCOPILLA;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Antofagasta;Tocopilla;Tocopilla;374777,0;7556040,0;19,0;TG-GEV-9868;Turbina de Gas;Gas Natural;358246,13666948;Petróleo N 2 (Diesel);0,0;0,0;Carbon dioxide;382291,25390625;Impuesto Verde;-70,21390995012625;-22,096073044593545
43;5441785;ENGIE ENERGIA CHILE S.A.;CENTRAL TÉRMICA MEJILLONES;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Antofagasta;Antofagasta;Mejillones;355392,0;7445882,0;19,0;CG-GEV-3692;Caldera de Generación Eléctrica;Carbón Sub Bituminoso;286346,45603999;Petróleo N 2 (Diesel);0,0;0,0;Carbon dioxide;361632,02734375;Impuesto Verde;-70,41189628893444;-23,089425226702165
44;4989;ACEROS AZA S.A.;PLANTA COLINA;Otras industrias manufactureras;Industrias básicas de hierro y acero;Industrias básicas de hierro y acero;Metropolitana de Santiago;Chacabuco;Colina;339037,0;6314586,0;19,0;HR-PPH-7609;Horno Palanquillas;Gas Natural;17671,255838271;Petróleo N 2 (Diesel);0,0;343440,43248;Carbon dioxide;361111,688318271;Correccion Materias primas;-70,72876759173863;-33,295804948366005
46;887401;CEMENTOS BIO BIO DEL SUR S.A.;CEMENTOS BIO BIO DEL SUR SA;Producción de cemento, cal y yeso;Fabricación de cemento, cal y yeso;Fabricación de cemento, cal y yeso;Biobío;Concepción;Talcahuano;667875,0;5932175,0;18,0;HR-PCM-5553;Horno Precalcinador;Coke de Petróleo (Petcoke);0,0;Aceite Usado;0,0;339585,48828072;Carbon dioxide;339585,48828072;Correccion Materias primas;-73,11970429545923;-36,74132055465394
47;5463833;KELAR S.A.;CENTRAL A GAS CICLO COMBINADO KELAR;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Antofagasta;Antofagasta;Mejillones;359951,0;7449541,0;19,0;TG-GEV-2976;Turbina de Gas;Gas Natural;225783,03366127;Petróleo N 2 (Diesel);0,0;0,0;Carbon dioxide;327475,09375;Impuesto Verde;-70,36705988460457;-23,05677328599096
48;5463833;KELAR S.A.;CENTRAL A GAS CICLO COMBINADO KELAR;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Antofagasta;Antofagasta;Mejillones;359951,0;7449541,0;19,0;TG-GEV-2978;Turbina de Gas;Gas Natural;246792,28084259;Petróleo N 2 (Diesel);242,91573159926;0,0;Carbon dioxide;321533,90625;Impuesto Verde;-70,36705988460457;-23,05677328599096
49;5441785;ENGIE ENERGIA CHILE S.A.;CENTRAL TÉRMICA MEJILLONES;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Antofagasta;Antofagasta;Mejillones;355392,0;7445882,0;19,0;TG-GEV-3725;Turbina de Gas;Gas Natural;295162,94531161;Petróleo N 2 (Diesel);0,0;0,0;Carbon dioxide;306793,1015625;Impuesto Verde;-70,41189628893444;-23,089425226702165
50;97033;INACAL S A;INACAL PLANTA DE CAL COPIAPO;Producción de cemento, cal y yeso;Fabricación de cemento, cal y yeso;Fabricación de cemento, cal y yeso;Atacama;Copiapó;Copiapó;379056,0;6973409,0;19,0;HR-PAL-16956;Horno Precalentador;Coke de Petróleo (Petcoke);50714,736922079;Aceite Usado;0,0;232281,0;Carbon dioxide;282995,736922079;Correccion Materias primas;-70,22284035156274;-27,357185697275536
51;4473;ASERRADEROS ARAUCO S A;PLANTA VIÑALES;Industria de la madera y Silvicultura;Aserrado y acepilladura de madera;Aserrado y acepilladura de madera;Maule;Talca;Constitución;735212,0;6082767,0;18,0;IN-GEV-19074;Caldera Industrial (Generadora de Vapor o Agua Caliente);Biomasa Combustible;446721,8767452;Petróleo N 2 (Diesel);134,78895326737;0,0;Carbon dioxide;280515,6;Impuesto Verde;-72,41094155653548;-35,37071754475176
55;322488;CMPC PULP SPA;CMPC PULP SA PLANTA PACIFICO;Industria del papel y celulosa;Fabricación de celulosa y otras pastas de madera;Fabricación de pasta de madera, papel y cartón;La La Araucanía;Malleco;Collipulli;721997,0;5814341,0;18,0;CG-GEV-15538;Caldera de Generación Eléctrica;Biomasa Combustible;319486,138524;Petróleo N 6;819,13890913471;0,0;Carbon dioxide;259132,79904;Impuesto Verde;-72,47881512981417;-37,79134645755639
56;4586116;MADERAS ARAUCO S.A.;PLANTA TRUPÁN/CHOLGUAN;Industria de la madera y Silvicultura;Fabricación de hojas de madera para enchapado y tableros a base de madera;Fabricación de hojas de madera para enchapado y tableros a base de madera;Ñuble;Diguillín;Yungay;760498,0;5882725,0;18,0;IN-GEV-7080;Caldera Industrial (Generadora de Vapor o Agua Caliente);Biomasa Combustible;411,137088768;Petróleo N 2 (Diesel);0,0;0,0;Carbon dioxide;258205,1;Impuesto Verde;-72,0662426471953;-37,16560708914498
57;3216;CMPC PULP SPA;CMPC CELULOSA PLANTA LAJA;Industria del papel y celulosa;Fabricación de celulosa y otras pastas de madera;Fabricación de pasta de madera, papel y cartón;Biobío;Biobío;Laja;702788,0;5870977,0;18,0;CG-GEV-9285;Caldera de Generación Eléctrica;Biomasa Combustible;284704,5577824;Petróleo N 6;0,72460063809001;0,0;Carbon dioxide;252240,514;Impuesto Verde;-72,71244477587406;-37,28572824927511
61;3522;CMPC PULP SPA;CMPC CELULOSA PLANTA SANTA FE;Industria del papel y celulosa;Fabricación de celulosa y otras pastas de madera;Fabricación de pasta de madera, papel y cartón;Biobío;Biobío;Nacimiento;707640,0;5845494,0;18,0;CG-GEV-16233;Caldera de Generación Eléctrica;Biomasa Combustible;251606,02027176;Petróleo N 6;2593,0497200832;0,0;Carbon dioxide;224161,383;Impuesto Verde;-72,65059528612598;-37,51416427062651
62;85823;AES GENER S A;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Valparaíso;Valparaíso;Puchuncaví;267718,0;6373424,0;19,0;CG-GEV-206;Caldera de Generación Eléctrica;Carbón Bituminoso Pulverizado;230283,43203033;Petróleo N 2 (Diesel);1260,9383536721;0,0;Carbon dioxide;211221,42700195;Impuesto Verde;-71,47931608290604;-32,75255770981258
63;2397;CELULOSA ARAUCO Y CONSTITUCION S A;PLANTA ARAUCO;Industria del papel y celulosa;Fabricación de celulosa y otras pastas de madera;Fabricación de pasta de madera, papel y cartón;Biobío;Arauco;Arauco;657571,0;5880775,0;18,0;CG-GEV-1433;Caldera de Generación Eléctrica;Biomasa Combustible;176902,93960366;Petróleo N 6;195,50949892803;0,0;Carbon dioxide;185543,498;Impuesto Verde;-73,22433337033301;-37,206209809699054
64;5452180;BIO BIO CEMENTOS S.A.;PLANTA CEMENTO ANTOFAGASTA;Producción de cemento, cal y yeso;Fabricación de cemento, cal y yeso;Fabricación de cemento, cal y yeso;Antofagasta;Antofagasta;Antofagasta;365761,0;7369175,0;19,0;HR-PCM-6629;Horno Precalcinador;Carbón Coke;42205,296576869;Aceite Usado;0,0;142345,18762776;Carbon dioxide;184550,484204629;Correccion Materias primas;-70,31752832528551;-23,78300491534435
66;245714;BO PAPER BIO-BIO S.A.;BO PAPER BIO BIO;Industria del papel y celulosa;Fabricación de papel y cartón para su posterior uso industrial n.c.p.;Fabricación de pasta de madera, papel y cartón;Biobío;Concepción;San Pedro de la Paz;669769,0;5921333,0;18,0;CG-GEV-1971;Caldera de Generación Eléctrica;Biomasa Combustible;198670,14120028;Gas Natural;6,9908942521866;0,0;Carbon dioxide;175286,06208;Impuesto Verde;-73,0960846220624;-36,83866741334292
70;5441787;ENGIE ENERGIA CHILE S.A.;CENTRAL TERMICA TOCOPILLA;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Antofagasta;Tocopilla;Tocopilla;374777,0;7556040,0;19,0;CG-GEV-9371;Caldera de Generación Eléctrica;Carbón Sub Bituminoso;50341,854438539;Petróleo N 2 (Diesel);0,0;0,0;Carbon dioxide;158813,94238281;Impuesto Verde;-70,21390995012625;-22,096073044593545
71;5403042;CEMENTO POLPAICO S A;PLANTA POLPAICO - TIL TIL;Producción de cemento, cal y yeso;Fabricación de cemento, cal y yeso;Fabricación de cemento, cal y yeso;Metropolitana de Santiago;Chacabuco;Tiltil;329362,0;6330069,0;19,0;HR-PCM-8974;Horno Rotatorio;Coke de Petróleo (Petcoke);151501,54506033;Combustible Sólido Alternativo;0,0;0,0;Carbon dioxide;151501,54506033;RUEA;-70,82972434299319;-33,1547303929009
72;85016;CELULOSA ARAUCO Y CONSTITUCION S A;PLANTA LICANCEL;Industria del papel y celulosa;Fabricación de celulosa y otras pastas de madera;Fabricación de pasta de madera, papel y cartón;Maule;Curicó;Licantén;771985,0;6124238,0;18,0;CG-GEV-1868;Caldera de Generación Eléctrica;Biomasa Combustible;105893,59815992;Petróleo N 6;1119,6950893002;0,0;Carbon dioxide;147986,84;Impuesto Verde;-72,02029775857038;-34,98792966838511
73;3522;CMPC PULP SPA;CMPC CELULOSA PLANTA SANTA FE;Industria del papel y celulosa;Fabricación de celulosa y otras pastas de madera;Fabricación de pasta de madera, papel y cartón;Biobío;Biobío;Nacimiento;707640,0;5845494,0;18,0;CG-GEV-14980;Caldera de Generación Eléctrica;Biomasa Combustible;179685,63092476;Petróleo N 6;2325,5061408763;0,0;Carbon dioxide;143291,9334;Impuesto Verde;-72,65059528612598;-37,51416427062651
74;3522;CMPC PULP SPA;CMPC CELULOSA PLANTA SANTA FE;Industria del papel y celulosa;Fabricación de celulosa y otras pastas de madera;Fabricación de pasta de madera, papel y cartón;Biobío;Biobío;Nacimiento;707640,0;5845494,0;18,0;HR-PCL-21553;Horno de Cal;Petróleo N 6;132480,10902189;Propano;0,0;0,0;Carbon dioxide;132480,10902189;RUEA;-72,65059528612598;-37,51416427062651
76;3582;CORP NACIONAL DEL COBRE DE CHILE;DIVISION SALVADOR  POTRERILLOS;Fundiciones de cobre;Extracción y procesamiento de cobre;Extracción y procesamiento de cobre;Atacama;Chañaral;Diego de Almagro;451818,0;7075984,0;19,0;HR-FS-22827;Horno;Petróleo N 6;127277,97311502;Gas Licuado de Petróleo;0,0;0,0;Carbon dioxide;127277,97311502;RUEA;-69,48323871712427;-26,435602695647805
78;2342251;COMASA SPA;CENTRAL LAUTARO;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;La La Araucanía;Cautín;Lautaro;721985,0;5734699,0;18,0;CG-GEV-10749;Caldera de Generación Eléctrica;Biomasa Combustible;139498,801092;Petróleo N 2 (Diesel);86,834740476033;0,0;Carbon dioxide;125234,05;Impuesto Verde;-72,45413161968526;-38,50843303569401
